Event	ID	Name			Wwise Object Path	Notes
	250868963	Play_FurnitureMove			\Default Work Unit\Play_FurnitureMove	
	415713954	Play_Item_Down			\Default Work Unit\Play_Item_Down	
	529815043	Play_MenuDown			\Default Work Unit\Play_MenuDown	
	1113566242	Play_MenuBack			\Default Work Unit\Play_MenuBack	
	1403551666	Play_Item_In_Heartagram			\Default Work Unit\Play_Item_In_Heartagram	
	1779266091	Play_Round_Start			\Default Work Unit\Play_Round_Start	
	1888148468	Play_Kisses			\Default Work Unit\Play_Kisses	
	2556250589	Stop_FurnitureMove			\Default Work Unit\Stop_FurnitureMove	
	2690797150	Play_cat			\Default Work Unit\Play_cat	
	2801657304	Play_Round_Start_Go			\Default Work Unit\Play_Round_Start_Go	
	2878774629	Play_Menu_Up			\Default Work Unit\Play_Menu_Up	
	2932040671	Play_Music			\Default Work Unit\Play_Music	
	3100142473	Play_MenuConfirm			\Default Work Unit\Play_MenuConfirm	
	3679533029	Play_PlayerJoin			\Default Work Unit\Play_PlayerJoin	
	4227397407	Play_Item_Pick_Up			\Default Work Unit\Play_Item_Pick_Up	

Switch Group	ID	Name			Wwise Object Path	Notes
	1445037870	MusicSwitch			\Default Work Unit\MusicSwitch	

Switch	ID	Name	Switch Group			Notes
	312312627	HumanWinMusic	MusicSwitch			
	679636833	MenuMusic	MusicSwitch			
	2275179450	GameplayMusic	MusicSwitch			
	3628969981	GhostWinMusic	MusicSwitch			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	325351564	FurnitureMove5	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\FurnitureMove5_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\FurnitureMove\FurnitureMove5		124910
	328134839	FurnitureMove4	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\FurnitureMove4_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\FurnitureMove\FurnitureMove4		135514
	396711749	Main Gameplay Music	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\MainGameplayMusicLooped_mixdown_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Main Gameplay Music		10584064
	533495813	FurnitureMove1	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\FurnitureMove1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\FurnitureMove\FurnitureMove1		124190
	620477597	FurnitureMove2	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\FurnitureMove2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\FurnitureMove\FurnitureMove2		148094
	630630407	MenuConfirm	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\MenuConfirm2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\MenuConfirm		17704
	674771949	Kiss23	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kiss23_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Kisses\Kiss23		54626
	684238937	Dating Human	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Dating Human_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Dating Human		10182188
	694748885	Item In Heartagram	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\ItemInHeartagram_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Items\Item In Heartagram		161408
	720635156	Round Start	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\RoundStart1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Round Start\Round Start		130076
	751545851	Kiss4	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kiss4_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Kisses\Kiss4		37536
	771816336	FurnitureMove3	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\FurnitureMove3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\FurnitureMove\FurnitureMove3		124372
	836716843	PlayerJoin	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\PlayerJoin3(Synth1)_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerJoin		40400
	838416374	Kiss21	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kiss21_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Kisses\Kiss21		42238
	866735896	FurnitureMove6	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\FurnitureMove6_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\FurnitureMove\FurnitureMove6		161390
	895972741	Kiss20	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kiss20_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Kisses\Kiss20		47772
	906090540	Kiss1	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kiss1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Kisses\Kiss1		48574
	936573464	Kiss6	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Kiss6_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Kisses\Kiss6		63900
	978919414	Item Pick Up	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\ItemPickUp_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Items\Item Pick Up		90508
	1007643226	Menu Up	C:\Users\Thomas\Documents\GitHub\Kissy_Ghost\KissyGhost\KissyGhostWwise\.cache\Windows\SFX\Menu Up_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Menu Up		15316

